PROCESSID	TAXON	MARKER	GENBANK_ACCESSION	TRACEFILE
MXQCS058-08	Brachiopoda	COI-5P		MXQCS/MXQCS058-08[LCO1490_t1,MLepR1]_F+1258126791.ab1
MXQCS058-08	Brachiopoda	COI-5P		MXQCS/MXQCS058-08[MLepF1,HCO2198_t1]_F+1258662343.ab1
MXQCS060-08	Brachiopoda	COI-5P		MXQCS/MXQCS060-08[LCO1490_t1,MLepR1]_R+1258130468.ab1
MXQCS060-08	Brachiopoda	COI-5P		MXQCS/MXQCS060-08[MLepF1,HCO2198_t1]_R+1258665006.ab1
MXQCS060-08	Brachiopoda	COI-5P		MXQCS/MXQCS060-08[LCO1490_t1,MLepR1]_F+1258126791.ab1
MXQCS060-08	Brachiopoda	COI-5P		MXQCS/MXQCS060-08[MLepF1,HCO2198_t1]_F+1258662343.ab1
OPQCS126-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS126-10~F1+1285850342.ab1
OPQCS126-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS126-10~R1+1285856437.ab1
OPQCS129-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS129-10~F1+1285850342.ab1
OPQCS129-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS129-10~R1+1285856437.ab1
WIZCF012-18	Terebratalia transversa	COI-5P		WIZCF/G01_FHL-2018-1-C2_Cirratulus_spectabilis_Rev+1530817135.1.ab1
WIZCF012-18	Terebratalia transversa	COI-5P		WIZCF/G01_FHL-2018-1-C2_Cirratulus_spectabilis_Fwd+1530810930.1.ab1
ABBAI1142-16	Glottidia	COI-5P		ABBAI/0199441955-01R+1459283086.ab1
ABBAI1142-16	Glottidia	18S		ABBAI/0199441955-03F+1523017322.ab1
ABBAI1142-16	Glottidia	COI-5P		ABBAI/0199441955-01F+1459270196.ab1
ABBAI1142-16	Glottidia	16S		ABBAI/0199441955-02R+1500923916.ab1
ABBAI1142-16	Glottidia	18S		ABBAI/0199441955-03R+1523017322.ab1
ABBAI1381-16	Discinidae	18S		ABBAI/0199442753-03F+1508965942.ab1
ABBAI1382-16	Discinidae	18S		ABBAI/0199442742-03R+1522263603.ab1
ABBAI1382-16	Discinidae	18S		ABBAI/0199442742-03F+1522263603.ab1
ABBAI1387-16	Discinidae	18S		ABBAI/0199442776-03F+1522263603.ab1
ABBAI1387-16	Discinidae	18S		ABBAI/0199442776-03R+1522263603.ab1
ABBAI1599-16	Glottidia	18S		ABBAI/0181851882-03R+1523017322.ab1
ABBAI1599-16	Glottidia	18S		ABBAI/0181851882-03F+1523017322.ab1
ABBAI1599-16	Glottidia	16S		ABBAI/0181851882-02R+1500044907.ab1
ABBAI1599-16	Glottidia	COI-5P		ABBAI/0181851882-01F+1473760260.ab1
ABBAI1599-16	Glottidia	COI-5P		ABBAI/0181851882-01R+1473766718.ab1
ABBAI1599-16	Glottidia	16S		ABBAI/0181851882-02F+1500090485.ab1
ABBAI1842-16	Glottidia	COI-5P		ABBAI/0174001076-01R+1473760260.ab1
ABBAI1842-16	Glottidia	COI-5P		ABBAI/0174001076-01F+1423507795.ab1
ABBAI1842-16	Glottidia	18S		ABBAI/0174001076-03F+1523017322.ab1
ABBAI1842-16	Glottidia	18S		ABBAI/0174001076-03R+1523017322.ab1
ABBAI1842-16	Glottidia	16S		ABBAI/0174001076-02F+1500090485.ab1
